,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,Context
24,0oZj6Xl6JJrr15jn05fcAe,Come Alive,Come Alive,FMLYBND,FALSE,49,0.406,0.918,6,-2.892,0,0.0575,0.000897,0.000833,0.174,0.413,114.945,audio_features,spotify:track:0oZj6Xl6JJrr15jn05fcAe,https://api.spotify.com/v1/tracks/0oZj6Xl6JJrr15jn05fcAe,https://api.spotify.com/v1/audio-analysis/0oZj6Xl6JJrr15jn05fcAe,192012,4,Walking
25,178LBNjYjfkhKbcOc6194h,llVV,Darkest Ocean,All Tvvins,TRUE,35,0.604,0.879,2,-3.812,1,0.0515,0.00167,0.000122,0.355,0.22,124.045,audio_features,spotify:track:178LBNjYjfkhKbcOc6194h,https://api.spotify.com/v1/tracks/178LBNjYjfkhKbcOc6194h,https://api.spotify.com/v1/audio-analysis/178LBNjYjfkhKbcOc6194h,221753,4,Studying
26,3DY5LE8QRLm2kpefWFtF09,Girls Like You,Goodbye Mondays,Zibra,FALSE,32,0.587,0.794,7,-4.949,1,0.0384,0.00111,1.26E-06,0.0782,0.296,113.05,audio_features,spotify:track:3DY5LE8QRLm2kpefWFtF09,https://api.spotify.com/v1/tracks/3DY5LE8QRLm2kpefWFtF09,https://api.spotify.com/v1/audio-analysis/3DY5LE8QRLm2kpefWFtF09,176999,4,Walking
27,42oaWtS8QIZv3STncW3wZv,Mirage,Shangri-La,Digitalism,FALSE,40,0.523,0.638,3,-8.305,0,0.044,0.000296,0.32,0.108,0.318,169.054,audio_features,spotify:track:42oaWtS8QIZv3STncW3wZv,https://api.spotify.com/v1/tracks/42oaWtS8QIZv3STncW3wZv,https://api.spotify.com/v1/audio-analysis/42oaWtS8QIZv3STncW3wZv,221747,4,Walking
28,7ioug6JQ6bJTK0SnZ0U55b,Blue,Blue,Howl,FALSE,31,0.426,0.938,9,-4.564,1,0.0469,0.0107,0.00278,0.31,0.446,96.507,audio_features,spotify:track:7ioug6JQ6bJTK0SnZ0U55b,https://api.spotify.com/v1/tracks/7ioug6JQ6bJTK0SnZ0U55b,https://api.spotify.com/v1/audio-analysis/7ioug6JQ6bJTK0SnZ0U55b,201120,4,Walking
29,6EnBcUZMs1CZz3gkLLHAjg,48:13:00,stevie,Kasabian,FALSE,36,0.545,0.855,7,-4.944,1,0.0406,0.033,0.000138,0.0751,0.409,131.99,audio_features,spotify:track:6EnBcUZMs1CZz3gkLLHAjg,https://api.spotify.com/v1/tracks/6EnBcUZMs1CZz3gkLLHAjg,https://api.spotify.com/v1/audio-analysis/6EnBcUZMs1CZz3gkLLHAjg,284587,4,Studying
30,2wHJj7r73uyiMjayyaoJGk,Feeling Electric,Feeling Electric,Parade of Lights,FALSE,49,0.449,0.833,0,-4.626,1,0.0548,0.000387,0.000562,0.151,0.637,97.055,audio_features,spotify:track:2wHJj7r73uyiMjayyaoJGk,https://api.spotify.com/v1/tracks/2wHJj7r73uyiMjayyaoJGk,https://api.spotify.com/v1/audio-analysis/2wHJj7r73uyiMjayyaoJGk,221617,4,Walking
31,0XsVNUmFx0hYW18xIin9ie,Evergreen,L.A.F,BROODS,FALSE,48,0.576,0.793,0,-4.955,1,0.0401,9.23E-05,2.88E-06,0.0426,0.7,88.143,audio_features,spotify:track:0XsVNUmFx0hYW18xIin9ie,https://api.spotify.com/v1/tracks/0XsVNUmFx0hYW18xIin9ie,https://api.spotify.com/v1/audio-analysis/0XsVNUmFx0hYW18xIin9ie,167656,3,Walking
32,20mm07wltfpLJ6vKbx01da,Cavalier Youth (Bonus Track Version),Lived a Lie,You Me At Six,FALSE,50,0.468,0.889,7,-3.945,1,0.0408,0.0486,0,0.351,0.514,133.663,audio_features,spotify:track:20mm07wltfpLJ6vKbx01da,https://api.spotify.com/v1/tracks/20mm07wltfpLJ6vKbx01da,https://api.spotify.com/v1/audio-analysis/20mm07wltfpLJ6vKbx01da,203253,4,Walking
33,3sG4x1x5BQFmcluWZTWVyB,"The Mountains, The Valleys, The Lakes",The Valleys,The Mountains,FALSE,46,0.652,0.705,4,-6.84,1,0.0314,0.596,0.00717,0.514,0.861,140.044,audio_features,spotify:track:3sG4x1x5BQFmcluWZTWVyB,https://api.spotify.com/v1/tracks/3sG4x1x5BQFmcluWZTWVyB,https://api.spotify.com/v1/audio-analysis/3sG4x1x5BQFmcluWZTWVyB,219363,4,Walking
34,1FTSo4v6BOZH9QxKc3MbVM,Blur (Special Edition),Song 2 - 2012 Remaster,Blur,FALSE,77,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,audio_features,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM,121160,4,Studying
35,5XMjXjwCkJVmk0AHm7z8IV,Love For The Streets,Jerk It Out,Caesars,FALSE,64,0.58,0.981,8,-2.603,0,0.06,0.0171,1.07E-05,0.386,0.861,134.007,audio_features,spotify:track:5XMjXjwCkJVmk0AHm7z8IV,https://api.spotify.com/v1/tracks/5XMjXjwCkJVmk0AHm7z8IV,https://api.spotify.com/v1/audio-analysis/5XMjXjwCkJVmk0AHm7z8IV,195667,4,Walking
36,6K4t31amVTZDgR3sKmwUJJ,Currents,The Less I Know The Better,Tame Impala,TRUE,84,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4,Studying
37,3f7OyfSoDbQC0LRDQiytPp,What Went Down,Mountain at My Gates,Foals,FALSE,66,0.495,0.931,2,-5.336,0,0.0469,0.0025,0.0819,0.246,0.617,104.05,audio_features,spotify:track:3f7OyfSoDbQC0LRDQiytPp,https://api.spotify.com/v1/tracks/3f7OyfSoDbQC0LRDQiytPp,https://api.spotify.com/v1/audio-analysis/3f7OyfSoDbQC0LRDQiytPp,244293,4,Studying
38,6O9trMlvwEEYdYn3seB5dR,Outsider,Míol Mór Mara,Outsider,FALSE,35,0.317,0.875,9,-6.698,1,0.0555,0.00112,0.000158,0.28,0.376,179.979,audio_features,spotify:track:6O9trMlvwEEYdYn3seB5dR,https://api.spotify.com/v1/tracks/6O9trMlvwEEYdYn3seB5dR,https://api.spotify.com/v1/audio-analysis/6O9trMlvwEEYdYn3seB5dR,225994,4,Walking
39,3OtlhVRkLHpX1rUadM6QpQ,Ghosts,Ghosts,The Presets,FALSE,0,0.606,0.688,1,-9.202,1,0.039,0.149,3.62E-06,0.189,0.522,139.954,audio_features,spotify:track:3OtlhVRkLHpX1rUadM6QpQ,https://api.spotify.com/v1/tracks/3OtlhVRkLHpX1rUadM6QpQ,https://api.spotify.com/v1/audio-analysis/3OtlhVRkLHpX1rUadM6QpQ,209040,4,Studying
40,4t7EGF0kXG5KeFrQ7hxdc1,The Bones Of What You Believe (Special Edition),We Sink,CHVRCHES,FALSE,0,0.608,0.807,2,-6.248,1,0.0389,0.00011,0.000426,0.506,0.472,125.033,audio_features,spotify:track:4t7EGF0kXG5KeFrQ7hxdc1,https://api.spotify.com/v1/tracks/4t7EGF0kXG5KeFrQ7hxdc1,https://api.spotify.com/v1/audio-analysis/4t7EGF0kXG5KeFrQ7hxdc1,211773,4,Walking
41,3DrwiOk2haF7tae8aB31cJ,"1,000 Opera Singers Working in Starbucks (Radio Edit)","1,000 Opera Singers Working in Starbucks - Radio Edit",Voka Gentle,FALSE,36,0.332,0.808,2,-6.198,1,0.0775,0.069,0.000217,0.197,0.431,143.978,audio_features,spotify:track:3DrwiOk2haF7tae8aB31cJ,https://api.spotify.com/v1/tracks/3DrwiOk2haF7tae8aB31cJ,https://api.spotify.com/v1/audio-analysis/3DrwiOk2haF7tae8aB31cJ,212183,4,Walking
42,3minGt3vPFVTiobgjlh5on,Pockets,Pockets,easy life,FALSE,0,0.632,0.593,1,-6.587,0,0.0393,0.255,0,0.183,0.489,92.89,audio_features,spotify:track:3minGt3vPFVTiobgjlh5on,https://api.spotify.com/v1/tracks/3minGt3vPFVTiobgjlh5on,https://api.spotify.com/v1/audio-analysis/3minGt3vPFVTiobgjlh5on,208231,4,Walking
43,0IJK096XrKQd14Q6fNqW0e,The Now Now,Sorcererz,Gorillaz,FALSE,51,0.584,0.872,9,-6.636,0,0.0365,0.022,0.927,0.127,0.818,84.075,audio_features,spotify:track:0IJK096XrKQd14Q6fNqW0e,https://api.spotify.com/v1/tracks/0IJK096XrKQd14Q6fNqW0e,https://api.spotify.com/v1/audio-analysis/0IJK096XrKQd14Q6fNqW0e,180373,3,Walking
44,4plemE0R4nlluGCCrTv5fO,Everytime I Run,Everytime I Run,"Husky Loops, MEI, Count Counsellor",FALSE,27,0.416,0.54,0,-6.796,1,0.139,0.0506,0,0.532,0.614,80.986,audio_features,spotify:track:4plemE0R4nlluGCCrTv5fO,https://api.spotify.com/v1/tracks/4plemE0R4nlluGCCrTv5fO,https://api.spotify.com/v1/audio-analysis/4plemE0R4nlluGCCrTv5fO,153978,4,Walking
45,1L8epx3bjOlIKncbJZRUcd,Youth,Youth,Glass Animals,FALSE,0,0.648,0.733,9,-7.803,0,0.0306,0.108,0.00473,0.113,0.752,96.003,audio_features,spotify:track:1L8epx3bjOlIKncbJZRUcd,https://api.spotify.com/v1/tracks/1L8epx3bjOlIKncbJZRUcd,https://api.spotify.com/v1/audio-analysis/1L8epx3bjOlIKncbJZRUcd,230693,4,Walking
46,6iaszgkGRQPWtnqwtw01V2,Walls,Walls,Slaptop,FALSE,0,0.825,0.619,11,-4.958,0,0.048,0.0625,4.44E-05,0.279,0.615,123.993,audio_features,spotify:track:6iaszgkGRQPWtnqwtw01V2,https://api.spotify.com/v1/tracks/6iaszgkGRQPWtnqwtw01V2,https://api.spotify.com/v1/audio-analysis/6iaszgkGRQPWtnqwtw01V2,238227,4,Walking
47,1qxfdtshzyOo9JwdPbvMYL,Let Me Know,Let Me Know,No Wyld,FALSE,3,0.582,0.891,7,-4.122,1,0.109,0.113,2.13E-05,0.125,0.119,119.886,audio_features,spotify:track:1qxfdtshzyOo9JwdPbvMYL,https://api.spotify.com/v1/tracks/1qxfdtshzyOo9JwdPbvMYL,https://api.spotify.com/v1/audio-analysis/1qxfdtshzyOo9JwdPbvMYL,251907,4,Walking
48,47wq2z7KMHDRnoSMdZODUA,Something For Your M.I.N.D.,Something For Your M.I.N.D.,Superorganism,FALSE,56,0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,0.664,140.096,audio_features,spotify:track:47wq2z7KMHDRnoSMdZODUA,https://api.spotify.com/v1/tracks/47wq2z7KMHDRnoSMdZODUA,https://api.spotify.com/v1/audio-analysis/47wq2z7KMHDRnoSMdZODUA,165391,4,Walking
49,1NWuKCvhqHptBlFK3HD7TK,I_CON,Down Town,De Staat,FALSE,38,0.461,0.881,9,-5.728,0,0.0885,0.00033,4.57E-05,0.792,0.794,152.954,audio_features,spotify:track:1NWuKCvhqHptBlFK3HD7TK,https://api.spotify.com/v1/tracks/1NWuKCvhqHptBlFK3HD7TK,https://api.spotify.com/v1/audio-analysis/1NWuKCvhqHptBlFK3HD7TK,188387,4,Studying
50,2uSCx6xNA3WzahPDXh36Eb,Don't Forget Who You Are,Don't Forget Who You Are,Miles Kane,FALSE,39,0.462,0.953,10,-2.28,1,0.0361,0.000732,1.00E-05,0.0905,0.387,93.986,audio_features,spotify:track:2uSCx6xNA3WzahPDXh36Eb,https://api.spotify.com/v1/tracks/2uSCx6xNA3WzahPDXh36Eb,https://api.spotify.com/v1/audio-analysis/2uSCx6xNA3WzahPDXh36Eb,204947,4,Studying
51,6oeABvJGU7Oztzd3CiSv0l,Slowdive,Star Roving,Slowdive,FALSE,35,0.326,0.932,9,-4.909,1,0.0506,0.0733,0.725,0.293,0.397,143.927,audio_features,spotify:track:6oeABvJGU7Oztzd3CiSv0l,https://api.spotify.com/v1/tracks/6oeABvJGU7Oztzd3CiSv0l,https://api.spotify.com/v1/audio-analysis/6oeABvJGU7Oztzd3CiSv0l,338869,4,Studying
52,4cY1UR4UCWzXqGm9lMvnQC,PHRESSSH - EP,Wages - PHRESSSH Mix,Bad Sounds,FALSE,0,0.48,0.902,9,-2.597,1,0.0373,0.00399,0.0175,0.222,0.67,98.032,audio_features,spotify:track:4cY1UR4UCWzXqGm9lMvnQC,https://api.spotify.com/v1/tracks/4cY1UR4UCWzXqGm9lMvnQC,https://api.spotify.com/v1/audio-analysis/4cY1UR4UCWzXqGm9lMvnQC,175382,4,Studying
53,3GTXok0dIm0mMqBiVklBYS,Royal,On Our Way,The Royal Concept,FALSE,54,0.581,0.793,1,-5.949,1,0.0914,0.0084,0,0.183,0.352,130.902,audio_features,spotify:track:3GTXok0dIm0mMqBiVklBYS,https://api.spotify.com/v1/tracks/3GTXok0dIm0mMqBiVklBYS,https://api.spotify.com/v1/audio-analysis/3GTXok0dIm0mMqBiVklBYS,193853,4,Studying
54,6H4IrhaJFaoXrSuQQKfzpD,Inversions,Little Games - St. Lucia Remix,"The Colourist, St. Lucia",FALSE,45,0.571,0.728,7,-8.901,0,0.104,0.00299,0.231,0.112,0.571,110.54,audio_features,spotify:track:6H4IrhaJFaoXrSuQQKfzpD,https://api.spotify.com/v1/tracks/6H4IrhaJFaoXrSuQQKfzpD,https://api.spotify.com/v1/audio-analysis/6H4IrhaJFaoXrSuQQKfzpD,273400,4,Studying
55,0a612uSmQ7zXV54buD9LSn,The 1975,The City,The 1975,FALSE,47,0.485,0.96,5,-4.882,1,0.0839,8.66E-05,0.000674,0.108,0.693,94.978,audio_features,spotify:track:0a612uSmQ7zXV54buD9LSn,https://api.spotify.com/v1/tracks/0a612uSmQ7zXV54buD9LSn,https://api.spotify.com/v1/audio-analysis/0a612uSmQ7zXV54buD9LSn,206893,4,Studying
56,1T5W2TZOovdq5YiJGgXQp8,Just Movement,Here,Robert DeLong,FALSE,0,0.576,0.951,4,-3.832,0,0.0824,0.0148,0.000284,0.626,0.262,139.868,audio_features,spotify:track:1T5W2TZOovdq5YiJGgXQp8,https://api.spotify.com/v1/tracks/1T5W2TZOovdq5YiJGgXQp8,https://api.spotify.com/v1/audio-analysis/1T5W2TZOovdq5YiJGgXQp8,251347,4,Walking
57,7v6EVHw0iUL8ww77IaoLCZ,Love Me Again,Love Me Again,John Newman,FALSE,0,0.497,0.888,2,-4.715,0,0.0452,0.00393,0.000562,0.0968,0.236,126.046,audio_features,spotify:track:7v6EVHw0iUL8ww77IaoLCZ,https://api.spotify.com/v1/tracks/7v6EVHw0iUL8ww77IaoLCZ,https://api.spotify.com/v1/audio-analysis/7v6EVHw0iUL8ww77IaoLCZ,239894,4,Walking
58,7tqG3RAo8h9pHxCJFn7bZb,Alive,Alive,Empire of the Sun,FALSE,0,0.523,0.882,5,-3.093,1,0.0364,0.108,1.07E-06,0.0684,0.388,119.947,audio_features,spotify:track:7tqG3RAo8h9pHxCJFn7bZb,https://api.spotify.com/v1/tracks/7tqG3RAo8h9pHxCJFn7bZb,https://api.spotify.com/v1/audio-analysis/7tqG3RAo8h9pHxCJFn7bZb,204591,4,Walking
59,49Iyikt59PD6VtmNDqg7e8,Royal,Goldrushed,The Royal Concept,FALSE,38,0.58,0.889,7,-5.524,1,0.0367,0.00162,3.03E-06,0.0982,0.408,102.949,audio_features,spotify:track:49Iyikt59PD6VtmNDqg7e8,https://api.spotify.com/v1/tracks/49Iyikt59PD6VtmNDqg7e8,https://api.spotify.com/v1/audio-analysis/49Iyikt59PD6VtmNDqg7e8,227080,4,Studying
60,1huRm0I1QxVb1pJziyCSRh,Dopamine,Fool,BØRNS,FALSE,49,0.675,0.8,11,-4.58,0,0.0324,0.002,0.0405,0.0861,0.889,124.999,audio_features,spotify:track:1huRm0I1QxVb1pJziyCSRh,https://api.spotify.com/v1/tracks/1huRm0I1QxVb1pJziyCSRh,https://api.spotify.com/v1/audio-analysis/1huRm0I1QxVb1pJziyCSRh,218320,4,Walking
61,0gJd9n6gKHNQTgkQJ8JbgU,Get To Heaven (Deluxe Version),Distant Past,Everything Everything,FALSE,33,0.694,0.812,11,-6.473,0,0.0355,0.0666,0.000533,0.211,0.522,129.988,audio_features,spotify:track:0gJd9n6gKHNQTgkQJ8JbgU,https://api.spotify.com/v1/tracks/0gJd9n6gKHNQTgkQJ8JbgU,https://api.spotify.com/v1/audio-analysis/0gJd9n6gKHNQTgkQJ8JbgU,221693,4,Walking
62,6C0xucNj75wRdlejwWIEW1,Kasabian,Club Foot,Kasabian,FALSE,61,0.238,0.919,0,-6.893,1,0.0816,0.0257,2.31E-05,0.0914,0.123,101.752,audio_features,spotify:track:6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/tracks/6C0xucNj75wRdlejwWIEW1,https://api.spotify.com/v1/audio-analysis/6C0xucNj75wRdlejwWIEW1,214373,4,Studying
